measurementid,timestamp,temperature,groundtemperature,feeltemperature,windgusts,windspeedBft,humidity,precipitation,sunpower,stationid
1,2025-02-09T15:10:00,4.9,5.1,3.3,3.3,2.0,78.0,0.0,72.0,6391
2,2025-02-09T15:10:00,5.4,5.9,2.5,6.3,3.0,72.0,0.0,134.0,6275
3,2025-02-09T15:10:00,5.3,5.0,1.6,7.0,3.0,78.0,0.0,74.0,6249
4,2025-02-09T15:10:00,5.4,5.4,2.7,5.6,2.0,75.0,0.0,120.0,6260
5,2025-02-09T15:10:00,5.1,5.0,0.9,8.2,4.0,77.0,0.0,121.0,6235
6,2025-02-09T15:10:00,5.8,6.7,3.6,4.5,2.0,79.0,0.0,410.0,6370
7,2025-02-09T15:10:00,4.3,5.0,1.7,3.9,2.0,83.0,0.0,92.0,6350
8,2025-02-09T15:10:00,6.6,7.3,5.1,3.1,2.0,79.0,0.0,141.0,6323
9,2025-02-09T15:10:00,6.4,6.5,3.8,6.1,3.0,68.0,0.0,206.0,6283
10,2025-02-09T15:10:00,4.9,4.8,1.3,7.3,3.0,74.0,0.0,152.0,6280
11,2025-02-09T15:10:00,5.8,6.1,2.3,8.5,3.0,66.0,0.0,208.0,6278
12,2025-02-09T15:10:00,5.3,5.5,2.9,4.3,2.0,77.0,0.0,139.0,6356
13,2025-02-09T15:10:00,5.9,6.2,2.9,4.9,3.0,72.0,0.0,129.0,6330
14,2025-02-09T15:10:00,5.0,4.6,1.6,7.1,3.0,75.0,0.0,146.0,6279
15,2025-02-09T15:10:00,5.4,5.5,0.3,11.5,5.0,75.0,0.0,229.0,6251
16,2025-02-09T15:10:00,,,,9.3,5.0,,,,6258
17,2025-02-09T15:10:00,,,,9.0,4.0,,,,6225
18,2025-02-09T15:10:00,4.7,5.1,-0.9,11.4,5.0,78.0,0.0,227.0,6277
19,2025-02-09T15:10:00,5.2,4.8,0.9,9.4,4.0,75.0,0.0,75.0,6270
20,2025-02-09T15:10:00,5.7,5.6,1.7,8.7,4.0,70.0,0.0,121.0,6269
21,2025-02-09T15:10:00,5.0,5.1,2.3,4.6,2.0,80.0,0.0,115.0,6348
22,2025-02-09T15:10:00,6.6,6.7,6.6,2.4,1.0,76.0,0.0,95.0,6380
23,2025-02-09T15:10:00,5.4,5.0,1.5,8.0,4.0,73.0,0.0,103.0,6273
24,2025-02-09T15:10:00,5.4,5.4,1.5,7.1,4.0,75.0,0.0,202.0,6286
25,2025-02-09T15:10:00,5.2,5.3,2.6,4.2,2.0,76.0,0.0,126.0,6344
26,2025-02-09T15:10:00,,,,3.8,2.0,,,,6343
27,2025-02-09T15:10:00,4.9,,1.2,6.7,3.0,77.0,0.0,123.0,6240
28,2025-02-09T15:10:00,4.9,5.1,0.6,9.8,4.0,75.0,0.0,120.0,6267
29,2025-02-09T15:10:00,,,,9.2,4.0,,,,6229
30,2025-02-09T15:10:00,6.3,6.7,2.4,8.6,4.0,63.0,0.0,262.0,6290
31,2025-02-09T15:10:00,4.9,5.0,-0.3,11.6,5.0,79.0,,,6242
32,2025-02-09T15:10:00,5.8,6.6,5.1,1.7,1.0,84.0,0.0,118.0,6310
33,2025-02-09T15:10:00,5.0,5.3,3.2,3.7,2.0,79.0,0.0,125.0,6375
34,2025-02-09T15:10:00,5.1,5.1,1.7,6.4,3.0,76.0,0.0,145.0,6215
35,2025-02-09T15:10:00,6.6,6.9,6.6,1.8,1.0,80.0,0.0,85.0,6319
36,2025-02-09T15:10:00,,,,8.0,4.0,,,,6248
37,2025-02-09T15:10:00,4.7,5.3,,,,74.0,0.0,134.0,6257
38,2025-02-09T15:10:00,6.6,7.1,5.1,4.0,2.0,80.0,0.0,,6340
39,2025-02-09T15:10:00,4.8,,-0.6,0.0,5.0,77.0,,,6239
